X,Y,Nedbor,Month
12.0,1.5,184.0,7.0
12.0,1.5,302.0,8.0
12.0,1.5,297.0,9.0
12.0,1.5,298.0,10.0
12.0,1.5,213.0,11.0
12.0,1.5,199.0,12.0
12.0,5.0,283.0,1.0
12.0,5.0,387.0,2.0
12.0,5.0,365.0,3.0
12.0,5.0,272.0,4.0
12.0,5.0,227.0,5.0
12.0,5.0,389.0,6.0
12.0,5.0,319.0,7.0
12.0,5.0,499.0,8.0
12.0,5.0,499.0,9.0
12.0,5.0,499.0,10.0
12.0,5.0,376.0,11.0
12.0,5.0,481.0,12.0
